Constellation,Subscribers,Emissions
Astra,"6,666,990","5,707"
BlueWalker,"118,949",106
Cinnamon-937,"165,119,609","70,192"
Flock,"73,425",3
Globalstar,"1,507,660","2,586"
Guowang,"6,359,584",384
Hanwha,"979,000",157
Honghu-3,"4,895,000","3,022"
HVNET,"704,880",346
KLEO,"146,850",91
Kuiper,"1,582,064",173
Lacuna,"117,480",95
Lightspeed,"146,850",17
Lynk,"979,000",167
Omni,"97,900",17
OneWeb,"3,469,576",380
Rassvet,"440,550",241
Semaphore-C,"57,095,280","24,271"
SferaCon,"313,280",171
Starlink (Gen2),"19,284,342","3,718"
Swarm,"73,425",12
Xingshidai,"97,900",15
Xingwang,"472,857",197
Yinhe,"489,500",103